p1860-201,p1860-202,p1860-203,p1860-204,p1860-205,p1860-206,p1860-207,p1860-208,p1860-209,p1860-210,p1860-211,p1860-212,p1860-213,p1860-214,p1860-215,p1860-216
pMTRXI-01,pMTRXI-02,pMTRXI-03,pMTRXI-04,pMTRXI-05,pMTRXI-06,pMTRXI-07,pMTRXI-08,pMTRXI-09,pMTRXI-10,pMTRXI-11,pMTRXI-12,pMTRXI-13,pMTRXI-14,pMTRXI-15,pMTRXI-16
half-normal,half-normal,half-normal,half-normal,half-normal,half-normal,half-normal,half-normal,half-normal,half-normal,half-normal,half-normal,half-normal,half-normal,half-normal,half-normal
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
