1864A,,,,ADR 2 1864b,,,,,,,,DRY FOLEY 1865 MIC LINES,,,,,,,,,,,,1847A MIC LINES,,,,,,,,,,,,1848B MIC LINES,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
p0001,p0002,p0003,p0004,p0005,p0006,p0007,p0008,p0009,p0010,p0011,p0012,p0013,p0014,p0015,p0016,p0017,p0018,p0019,p0020,p0021,p0022,p0023,p0024,p0025,p0026,p0027,p0028,p0029,p0030,p0031,p0032,p0033,p0034,p0035,p0036,p0037,p0038,p0039,p0040,p0041,p0042,p0043,p0044,p0045,p0046,p0047,p0048
p1049,p1050,p1051,p1052,p1053,p1054,p1055,p1056,p1057,p1058,p1059,p1060,p1061,p1062,p1063,p1064,p1065,p1066,p1067,p1068,p1069,p1070,p1071,p1072,p1073,p1074,p1075,p1076,p1077,p1078,p1079,p1080,p1081,p1082,p1083,p1084,p1085,p1086,p1087,p1088,p1089,p1090,p1091,p1092,p1093,p1094,p1095,p1096
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1860 Dry Foley TIELINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TB,NF,NF
