AVID OUTPUTS,,,,,,,,1863 TIELINES,,,,,,,,,,,,,,,end,,,,,,,,,,,API OUTPUTS,,,,,,,,,end,,EL Dist
9,10,11,12,13,14,15,16,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,,OUT
p1862-av-o09,p1862-av-o10,p1862-av-o11,p1862-av-o12,p1862-av-o13,p1862-av-o14,p1862-av-o15,p1862-av-o16,p1862-65,p1862-66,p1862-67,p1862-68,p1862-69,p1862-70,p1862-71,p1862-72,p1862-73,p1862-74,p1862-75,p1862-76,p1862-77,p1862-78,p1862-79,p1862-80,,,,,,,,,,,p1862api-o01,p1862api-o02,p1862api-o03,p1862api-o04,p1862api-o05,p1862api-o06,p1862api-o07,p1862api-o08,p1862api-o09,p1862api-o10,,p1862-dsit-i
p1862-fl-tkl,p1862-fl-tkr,p1862-fl-mc,p1862-fl-cu,p1862-229,p1862-230,p1862-231,p1862-232,,,,,,,,,p1862api-i01,p1862api-i02,p1862api-i03,p1862api-i04,p1862api-i05,p1862api-i06,p1862api-i07,p1862api-i08,p1862api-i09,p1862api-i10,p1862-av-i01,p1862-av-i02,p1862-av-i03,p1862-av-i04,p1862-av-i05,p1862-av-i06,p1862-av-i07,p1862-av-i08,p1862-av-i09,p1862-av-i10,p1862-av-i11,p1862-av-i12,p1862-av-i13,p1862-av-i14,p1862-av-i15,p1862-av-i16,,,,p1862-dsit-o
TRK,TRK,MIC,CUE,229,230,231,232,,,,,,,,,1,2,3,4,5,6,7,8,9,10,1/3,2/4,3/5,4/8,5/7,6/8,7/9,8/10,9,10,11,12,13,14,15,16,,,,IN
1863 PB F-9/12,,,,1863 TIELINES,,,end,,,,,,,,,API INPUTS,,,,,,,,,,AVID/FAIRLIGHT INPUTS,,,,,,,,AVID INPUTS,,,,,,,end,,,,EL Dist
